,Length,Width,Height,Weight
137,4.702,2.023,1.427,1570.0
138,4.701,2.023,1.436,1605.0
140,4.708,2.023,1.421,1705.0
141,4.719,2.04,1.416,1795.0
142,4.573,1.777,1.391,1717.5
144,4.572,1.815,1.403,1747.5
145,4.5935,1.772,1.412,1502.5
146,4.573,1.7775,1.391,1717.5
147,4.561,1.7735,1.4215,1500.0
148,4.5595,1.8515,1.434,1552.5
149,4.4805,1.7905,1.4055,1600.0
150,4.485,1.889,1.418,1402.5
151,4.6255,2.02,1.383,1755.0
152,4.6765,2.0005,1.3755,1760.0
153,4.6255,2.0005,1.372,1545.0
154,4.7115,2.02,1.391,1695.0
155,4.649,2.02,1.373,1817.5
156,4.924,2.086,1.455,1732.5
157,4.9345,2.086,1.461,1797.5
158,4.939,2.085,1.482,1905.0
159,4.937,2.086,1.4505,1927.5
160,4.979,2.086,1.461,1942.5
161,4.9215,2.021,1.459,1652.5
163,4.927,1.947,1.4455,1940.0
164,4.934,1.946,1.446,1820.0
165,4.928,2.051,1.456,2005.0
166,4.81,1.932,1.526,1825.0
167,3.327,1.901,1.4395,1617.5
168,4.824,1.901,1.452,1860.0
171,4.9745,2.139,1.414,1825.0
172,4.98,2.139,1.408,1950.0
173,5.012,2.139,1.419,1925.0
174,5.201,2.111,1.4655,1945.0
175,5.1465,2.111,1.458,1982.5
176,5.1215,2.0485,1.4495,1832.5
177,5.062,1.983,1.434,1940.0
178,5.099,1.9435,1.429,1675.0
179,4.367,1.8035,1.379,1402.5
183,4.3865,2.019,1.608,1505.0
184,4.4105,2.019,1.58,1655.0
186,4.629,2.089,1.653,1787.5
189,4.4325,2.029,1.2505,1602.5
190,4.4325,2.029,1.244,1702.5
191,4.435,2.029,1.252,1525.0
192,4.434,2.029,1.244,1640.0
193,4.188,1.952,1.3485,1345.0
194,4.188,1.952,1.354,1390.0
195,4.198,1.952,1.345,1492.5
196,4.041,1.81,1.3445,1400.0
197,4.041,1.81,1.3485,1455.0
204,5.1325,2.223,1.7245,2507.5
205,4.85,2.187,1.405,2204.5
206,4.85,2.187,1.399,2374.5
207,5.316,2.22,1.483,2383.5
208,5.7,2.208,1.531,2657.5
209,5.515,2.041,1.515,2481.0
210,5.2955,1.9765,1.477,2572.5
211,5.286,2.058,1.464,2530.0
212,5.411,2.078,1.473,2655.0
213,5.3205,2.058,1.485,2430.0
215,5.29,2.118,1.47,2475.0
216,4.812,2.2265,1.3965,2475.0
217,4.812,2.2265,1.3975,2257.5
218,4.806,2.227,1.3935,2495.0
219,4.804,2.194,1.393,2440.0
220,4.8055,2.148,1.385,2295.0
223,5.299,2.208,1.488,2446.0
225,5.3515,2.058,1.485,2470.0
226,4.319,2.081,1.434,1407.5
227,4.45,1.987,1.413,1457.5
228,4.348,2.038,1.5555,1502.5
229,4.547,2.0595,1.516,1510.0
230,4.443,1.984,1.408,1565.0
231,4.526,2.081,1.42,1460.0
232,4.7515,2.068,1.439,1632.5
233,4.711,2.068,1.4425,1730.0
234,4.824,2.047,1.508,1660.0
235,4.781,2.081,1.388,1632.5
236,4.639,2.017,1.3965,1615.0
237,4.769,2.081,1.389,1790.0
238,4.9595,2.126,1.476,1742.5
239,4.9525,2.126,1.498,1800.0
240,5.091,2.158,1.539,1800.0
241,5.179,2.169,1.473,1972.5
242,4.855,2.137,1.3515,1820.0
243,4.855,2.137,1.346,1940.0
244,5.086,2.137,1.4105,1905.0
245,4.005,2.039,1.588,1290.0
246,4.689,2.218,1.294,1510.0
247,4.689,2.218,1.289,1595.0
248,4.443,2.06,1.59,1572.5
249,4.36,2.098,1.519,1565.0
250,4.8215,2.175,1.6825,1895.0
251,4.7455,2.138,1.6205,1895.0
252,4.93,2.218,1.746,2247.5
253,4.938,2.212,1.694,2175.0
254,5.151,2.218,1.805,2405.0
255,4.324,2.024,1.304,1487.5
256,4.284,1.959,1.416,1362.5
257,4.36,1.9265,1.4155,1395.0
258,4.36,1.9265,1.4015,1515.0
259,4.233,1.9335,1.4255,1332.5
260,4.38,1.932,1.42,1495.0
261,4.468,1.984,1.41,1507.5
262,4.648,2.034,1.425,1525.0
263,4.6285,2.031,1.425,1592.5
264,4.671,2.037,1.424,1552.5
265,4.596,1.782,1.384,1680.0
266,4.596,1.782,1.385,1465.0
267,4.5975,1.8105,1.4195,1705.0
268,4.5235,1.817,1.418,1537.5
269,4.5255,1.817,1.4135,1465.0
270,4.488,1.757,1.369,1437.5
271,4.488,1.852,1.372,1602.5
272,4.492,1.78,1.374,1477.5
273,4.492,1.924,1.37,1655.0
274,4.4795,1.8355,1.415,1495.0
275,4.4785,1.8355,1.2745,1570.0
276,4.262,1.846,1.408,1402.5
277,4.21,1.808,1.3855,1282.5
278,4.439,1.7055,1.34,1625.0
279,4.439,1.7055,1.348,1492.5
280,4.439,1.808,1.391,1437.5
281,4.439,1.704,1.366,1370.0
282,4.433,1.71,1.3375,1732.5
283,4.356,1.815,1.404,1580.0
284,4.433,1.704,1.35,1732.5
289,4.6635,2.0155,1.3845,1562.5
290,4.6545,2.0155,1.3915,1777.5
291,4.671,2.014,1.3845,1692.5
292,5.001,2.0205,1.559,1972.5
293,4.903,1.981,1.4695,1722.5
294,4.907,1.981,1.4685,1815.0
295,4.91,2.005,1.452,1870.0
296,4.841,1.846,1.468,1565.0
297,4.824,1.915,1.468,1660.0
298,4.855,2.036,1.468,1855.0
299,4.7645,1.842,1.44,1712.5
300,4.754,1.8665,1.436,1640.0
301,4.72,1.751,1.417,1660.0
304,4.894,1.992,1.365,1880.0
305,4.9505,1.992,1.3805,1747.5
306,4.898,2.106,1.368,1980.0
307,5.017,2.106,1.394,1910.0
308,5.007,2.0855,1.392,1807.5
309,4.898,2.106,1.374,1850.0
310,4.82,1.855,1.3735,1575.0
311,4.82,1.855,1.3735,1785.0
312,4.871,1.855,1.3745,1820.0
314,5.1455,2.022,1.4815,2000.0
315,5.104,2.0175,1.488,1985.0
316,5.054,1.9625,1.435,1947.5
319,4.7645,1.8695,1.34,1895.0
320,4.8185,1.915,1.449,1760.0
321,4.7275,1.8385,1.4705,1770.0
322,4.6015,1.8835,1.395,1520.0
323,4.58,1.782,1.395,1770.0
